i,score,my,my_sen,else,else_sen,nice,nice_sen,honest,honest_sen
0,3,3,0.8591,2,0.8402,3,0.8995,2,-0.1563
1,1,3,0.6181,2,-0.9485,3,0.7269,2,0.7096
2,2,3,0.8225,2,-0.4588,3,0.8335,2,0.1531
3,2,3,0.4497,2,-0.3743,3,0.8353,3,-0.4019
4,4,3,0.822,3,0.9615,3,0.7935,2,-0.27
5,2,2,0.2617,2,-0.2382,3,0.8891,3,0.743
6,2,2,0.0108,2,-0.6526,3,0.9528,2,-0.6753
7,3,3,0.8074,2,0.0387,3,0.9707,2,0.6187
8,2,3,0.6124,2,0.8625,3,0.9676,2,0.7904
9,4,3,0.91,3,-0.7968,4,0.9459,3,0.765
10,3,3,0.3384,2,-0.3818,3,0.9661,3,0.2732
11,1,2,0.6752,2,-0.8347,3,0.9544,2,-0.5499
12,5,4,0.6705,4,0.775,4,0.9067,4,0.9593
13,4,3,0.3599,2,-0.8338,3,0.9814,2,-0.2929
14,4,3,0.0258,2,-0.9688,4,0.9231,3,0.7395
15,4,2,0.0806,2,0.8246,3,0.9564,3,-0.5859
16,1,3,0.8993,2,0.7684,3,0.7843,3,0.7615
17,1,2,-0.2815,2,-0.8957,2,0.8748,2,-0.7549
18,2,3,0.6077,3,0.5499,4,0.8658,3,0.9074
19,1,2,0.8777,2,-0.918,2,0.8117,2,0.128
20,4,3,0.9022,3,0.09,4,0.9274,3,0.7615
21,3,3,0.9151,2,0.5095,3,0.2023,2,-0.4624
22,2,3,-0.1779,3,-0.9082,3,-0.2144,3,0.8511
23,1,2,0.6136,2,0.0,3,0.9798,2,-0.8064
24,2,3,0.7964,2,-0.8595,3,0.9565,2,0.2617
25,2,3,0.8654,3,0.5187,3,0.9561,3,-0.0387
26,2,3,0.5553,3,-0.4404,3,0.7469,2,0.5189
27,1,2,-0.8207,2,-0.3818,2,-0.5423,2,0.5699
28,3,3,0.8922,2,-0.7356,3,0.5927,3,0.5574
29,1,2,0.5719,2,-0.1002,3,0.9069,2,-0.057
30,4,3,0.9446,3,0.8442,3,0.8288,3,0.775
31,3,3,0.6249,3,-0.2393,3,0.8605,3,0.928
32,2,2,-0.921,2,0.1487,3,0.6597,3,0.8804
33,3,3,0.9259,3,-0.8885,3,0.6369,3,-0.2023
34,3,3,-0.5719,3,-0.6819,4,0.7088,3,-0.8485
35,2,3,0.6858,3,0.1531,3,0.7269,3,0.9847
36,4,4,0.9112,3,0.7713,3,0.9001,3,-0.3962
37,2,2,-0.8701,2,-0.5267,3,0.5,2,0.8777
38,6,4,0.6801,4,0.9408,4,0.8588,4,0.4404
39,2,3,0.6705,2,-0.8992,3,0.8955,2,0.1725
40,3,3,0.8397,2,0.9127,4,0.6365,3,0.8402
41,2,2,0.8047,2,-0.6249,3,0.9482,2,-0.1531
42,2,3,-0.4588,2,-0.841,3,0.8335,3,0.4215
43,1,2,-0.7884,2,-0.4019,2,0.8516,2,0.7469
44,4,3,0.6509,3,-0.8821,3,0.9507,3,0.6794
45,5,4,0.9571,3,-0.6914,4,0.6757,4,0.6858
46,3,2,-0.0882,2,-0.8916,3,0.8718,3,-0.2127
