i,score,my,my_sen,else,else_sen,nice,nice_sen,honest,honest_sen
0,3,3,0.1027,3,-0.9275,3,0.8126,2,-0.5962
1,1,3,0.3612,2,-0.8847,3,0.9828,2,0.3919
2,2,2,-0.3182,3,0.1154,3,0.9907,2,-0.8781
3,2,3,0.8381,3,-0.8726,3,0.9697,2,-0.046
4,4,3,0.0765,3,0.9203,3,0.8235,2,-0.6516
5,2,3,0.775,2,-0.7235,3,0.978,3,-0.25
6,2,3,0.8457,2,-0.9233,3,-0.2607,2,0.7867
7,3,3,0.4019,2,-0.949,3,0.9296,2,0.872
8,2,2,0.6068,2,-0.7104,3,0.9701,2,0.5994
9,4,3,0.1027,3,0.0609,3,0.5574,3,0.1189
10,3,3,0.9481,3,0.6801,3,0.7096,2,-0.8023
11,1,2,-0.3919,2,-0.5513,3,0.9717,2,-0.3195
12,5,3,0.9517,3,0.9109,4,0.9359,3,0.9595
13,4,3,0.8519,3,-0.9583,3,0.9445,2,-0.9644
14,4,3,0.1633,3,-0.4497,3,0.9506,3,-0.708
15,4,3,0.9672,2,0.7351,3,0.9628,3,0.8584
16,1,3,0.7783,2,-0.899,3,0.5321,2,-0.3818
17,1,2,-0.6908,2,-0.7546,2,0.9553,2,-0.6664
18,2,3,0.9729,3,0.7684,3,0.8807,3,0.2946
19,1,2,-0.8688,2,-0.3195,2,0.9009,2,-0.743
20,4,3,0.8661,3,0.1248,4,0.9583,3,0.855
21,3,2,0.0,2,-0.3652,3,0.9598,2,-0.3624
22,2,3,0.9161,3,-0.0772,3,0.9699,2,0.3605
23,1,2,-0.5535,2,-0.383,2,0.8103,2,-0.3145
24,2,3,0.8047,2,-0.4232,2,0.2382,2,-0.0289
25,2,3,0.9789,3,-0.7647,3,0.9647,3,-0.4678
26,2,2,-0.5939,2,-0.769,3,0.9856,3,-0.7748
27,1,3,0.5709,2,0.8065,2,0.9248,2,-0.8923
28,3,3,0.4215,2,-0.4497,3,0.9306,2,0.5267
29,1,2,0.6652,2,-0.8275,2,-0.3071,2,-0.1779
30,4,3,0.8074,3,0.7833,3,0.9293,3,0.962
31,3,3,0.4767,3,-0.7845,3,0.8834,3,-0.9552
32,2,3,0.8897,2,-0.9165,3,0.9267,2,-0.8658
33,3,3,-0.298,3,-0.1106,3,0.8478,3,0.4678
34,3,4,0.8829,3,-0.3624,4,0.9246,3,0.9001
35,2,3,0.9321,3,0.9346,3,0.9201,3,-0.5481
36,4,3,0.908,3,-0.1027,3,0.824,3,0.9625
37,2,2,0.9231,2,-0.9071,3,0.4453,2,-0.4226
38,6,4,0.84,4,-0.2625,4,0.886,3,0.7453
39,2,3,-0.7974,2,-0.7476,3,0.945,2,0.2361
40,3,3,0.9207,2,-0.0271,3,0.9678,2,0.296
41,2,2,0.4033,2,-0.7235,3,0.9776,3,0.2375
42,2,3,0.4939,2,0.4508,3,0.9223,2,-0.4767
43,1,2,0.1073,2,-0.8558,2,0.8312,2,-0.8593
44,4,3,-0.7592,2,-0.8667,3,0.855,2,-0.8658
45,5,4,0.7351,4,0.743,4,0.8074,3,0.9028
46,3,3,0.9124,3,-0.9302,3,0.962,3,0.7321
47,3,3,0.9119,2,-0.9234,3,0.9371,3,-0.4404
48,3,3,-0.5939,2,-0.1901,3,0.9535,2,-0.5908
49,3,3,0.3965,3,-0.7783,3,0.9349,3,0.8834
50,4,3,0.5719,3,0.8924,4,0.9712,3,-0.4902
51,2,3,0.9042,3,-0.7186,3,0.714,2,0.4282
52,2,3,0.9595,2,-0.7311,3,0.9606,2,-0.8758
53,4,4,0.9325,3,0.8364,4,0.9538,3,0.6249
54,2,3,0.8944,3,0.4461,3,0.9771,2,0.9158
55,4,3,0.7717,3,-0.8628,3,0.3312,3,0.9418
56,4,3,-0.649,3,0.631,3,0.9217,3,0.9761
57,2,2,-0.5445,2,-0.6492,2,0.8945,2,-0.1531
58,3,2,-0.8408,2,-0.9187,3,0.9786,2,-0.713
59,2,3,-0.1406,3,-0.1531,3,0.9792,2,0.882
60,4,3,0.9473,3,0.4872,3,0.9794,3,0.9766
61,3,3,-0.0644,3,-0.8183,3,0.9593,3,0.2821
62,4,3,0.7105,3,0.7176,3,0.8316,3,0.8176
63,2,3,0.9348,3,-0.8201,3,-0.9502,3,-0.2271
64,3,3,0.9001,2,-0.7235,3,0.9336,3,0.9493
65,5,4,0.8934,3,0.9376,4,0.8519,3,0.9611
66,4,3,0.8479,3,-0.937,4,0.9266,3,0.0427
67,2,2,0.7364,2,0.6956,2,-0.5931,3,-0.4404
68,2,3,-0.5859,2,0.0163,3,0.9446,2,-0.6744
69,3,3,0.4215,3,0.2617,3,0.9593,2,0.9871
70,6,3,0.809,3,0.8338,4,0.8316,3,0.9238
71,1,3,0.5908,2,-0.3937,3,-0.8824,2,0.9432
72,3,3,0.4576,3,-0.7796,3,0.9127,2,0.9542
73,4,3,0.8968,3,-0.2748,3,0.8139,3,0.8641
74,1,3,0.744,2,0.954,3,0.9108,3,-0.1154
75,3,3,0.7876,2,-0.769,3,0.9666,2,-0.3919
76,2,3,0.2382,2,-0.8047,3,0.9106,2,0.9186
77,5,3,0.9395,3,-0.856,4,0.8932,3,0.9551
78,3,3,-0.3314,2,-0.8677,3,0.9752,2,-0.6496
79,2,2,0.8245,2,-0.9408,3,0.9849,3,-0.1406
80,2,3,0.8516,2,-0.8723,3,0.63,2,-0.9295
81,4,3,0.8573,3,0.3898,3,0.8999,3,0.0516
82,2,3,-0.705,2,-0.8981,2,0.9189,2,-0.9432
83,4,3,0.7615,3,0.5849,2,0.9577,2,0.0346
84,3,3,0.8648,3,-0.4767,3,0.9686,3,-0.3492
85,4,3,0.7311,2,-0.775,3,0.9656,3,0.244
86,3,2,0.0772,2,0.2846,3,0.8979,2,-0.8098
87,5,6,0.9875,3,0.916,4,0.8519,3,0.9689
88,3,3,-0.0644,2,-0.9549,3,0.9652,2,-0.9666
89,3,3,0.8674,3,-0.4215,3,0.9894,2,0.8847
90,3,3,-0.1779,3,0.6542,3,0.0,2,0.8733
91,3,3,0.7783,3,0.7964,3,0.9489,2,-0.3944
92,3,3,0.4023,2,-0.9536,3,-0.8124,2,-0.9505
93,2,2,0.7783,2,0.1154,2,0.9432,2,0.7906
94,2,2,0.3612,2,-0.9482,3,0.9545,3,-0.4854
95,1,2,-0.8576,2,-0.8131,2,0.9674,2,-0.5583
96,3,3,0.631,3,0.145,3,0.9216,3,-0.7579
97,2,3,0.9792,3,0.9476,3,0.9519,3,0.9568
98,3,3,0.9366,3,0.3291,3,0.9325,2,-0.7969
99,1,3,0.8655,3,0.7047,4,0.872,3,0.8872
100,3,3,0.7717,3,-0.5717,3,0.8294,3,0.101
101,3,3,-0.5476,2,-0.8893,3,0.9851,2,-0.9671
102,4,3,0.928,3,0.9178,3,0.9479,3,0.8209
103,4,3,0.6187,2,-0.5499,3,0.776,3,-0.5719
104,4,3,0.9659,3,0.0877,3,0.7003,3,0.9331
105,2,3,0.5719,2,-0.7245,3,0.8803,2,0.695
106,4,3,0.1531,3,-0.7475,4,0.9112,3,0.7017
107,3,3,0.9809,3,-0.5267,3,0.886,3,0.9743
108,4,3,0.7535,3,0.952,3,0.7935,2,-0.1406
109,5,3,0.9671,3,0.1646,4,0.7717,3,0.7096
110,2,3,0.765,2,-0.7876,3,0.9313,3,0.4678
111,3,3,0.8658,3,-0.813,3,0.6124,2,0.6769
112,5,4,0.8945,4,0.6124,4,0.9423,3,0.3106
113,2,3,0.8271,2,-0.4497,3,0.9393,2,0.9109
114,5,4,0.8625,4,0.7943,4,0.6249,3,0.9265
115,4,3,0.9325,3,0.6705,4,0.7506,3,0.8558
116,3,3,0.8966,2,-0.9349,3,0.9752,2,0.5994
117,4,3,0.6908,3,-0.1875,4,0.9169,3,0.7774
118,3,2,0.7003,2,-0.9681,3,0.8831,2,-0.5243
119,3,3,0.8537,2,-0.5499,3,0.8126,2,0.7561
120,4,3,0.4425,3,0.4855,4,0.8834,3,0.128
121,2,2,-0.3624,2,-0.8129,2,0.705,2,-0.2856
122,2,3,0.8421,2,0.8212,3,0.5531,3,-0.5111
123,4,3,0.5574,2,-0.8847,3,0.9527,2,-0.7003
124,3,3,0.9125,3,0.9278,3,0.9118,3,0.8243
125,2,3,0.308,2,0.0997,3,0.8654,2,0.8983
126,3,3,0.8641,3,-0.9083,4,0.7717,3,-0.4443
127,3,3,0.9834,3,0.4854,3,0.8591,3,0.3781
128,3,3,-0.3182,3,-0.7184,3,0.6249,2,-0.7855
129,4,3,0.9136,3,0.0335,4,0.9201,3,0.8064
130,3,3,0.3393,2,-0.363,3,0.7637,2,-0.296
131,3,3,0.9717,3,-0.4497,3,0.3984,3,0.1292
132,3,3,0.7397,3,0.0772,3,0.872,3,0.6734
133,3,3,0.6808,3,-0.5284,3,0.9216,3,0.946
134,4,3,0.5785,3,-0.7625,3,0.9509,2,-0.8159
135,5,3,-0.3071,3,-0.204,3,0.9371,3,0.09
136,4,3,0.4259,3,0.2862,3,0.8151,2,-0.6369
137,5,3,0.4491,3,-0.7791,4,0.891,3,-0.0877
138,2,2,0.6642,2,-0.9266,3,0.8885,2,-0.5426
139,5,3,0.8702,3,0.0129,3,0.705,2,-0.0156
140,1,2,-0.5368,2,-0.658,2,0.9352,2,-0.1416
141,2,3,0.9688,2,-0.7332,3,0.9555,3,0.5191
142,3,3,-0.2382,2,-0.8442,3,0.9634,2,0.8555
143,4,2,-0.0772,2,-0.9568,3,0.84,2,-0.5574
144,2,3,0.81,3,0.4301,3,0.9136,2,-0.3693
145,3,2,-0.7586,2,-0.8274,3,0.9766,2,-0.7909
146,2,3,-0.8674,2,-0.8628,3,0.9294,3,-0.7235
147,2,3,0.8074,3,-0.2211,3,0.5563,3,0.775
148,3,4,0.8825,4,0.9415,4,0.9399,3,0.5413
149,2,2,-0.8147,2,0.1012,2,0.8777,2,-0.8428
