i,score,my,my_sen,else,else_sen,nice,nice_sen,honest,honest_sen
0,4,3,0.024,3,-0.6915,3,0.9719,3,0.8379
1,3,3,-0.25,3,-0.8205,3,0.9229,3,0.5632
2,4,3,0.836,3,-0.9014,3,0.9468,3,0.34
3,3,3,0.7992,3,-0.9233,3,0.9523,3,-0.8074
4,5,3,0.8047,3,0.7105,3,0.9727,3,0.2582
5,3,3,-0.5023,3,0.3269,3,0.9578,3,0.4576
6,3,3,0.6887,3,0.6597,4,0.9606,3,0.704
7,3,3,0.7845,2,-0.7101,3,0.5922,2,-0.7579
8,2,3,0.8462,3,-0.3298,3,0.902,3,0.5483
9,2,2,-0.8255,2,-0.8876,2,0.8655,2,-0.9086
10,3,2,0.9422,3,-0.5267,3,0.9525,3,0.6701
11,1,2,-0.0108,2,-0.7269,2,0.975,2,0.6116
12,2,2,0.784,2,-0.6703,2,0.9458,2,0.0679
13,3,3,0.7845,3,-0.7762,3,0.9269,3,0.7436
14,6,3,0.9497,4,-0.34,4,0.8176,3,0.7349
15,3,3,0.8735,2,0.4828,3,0.9627,2,0.8658
16,3,3,0.6908,3,0.6739,4,0.9347,3,0.4588
17,2,3,0.9108,3,0.2683,3,0.7882,2,-0.9786
18,4,4,0.9643,3,0.7783,4,0.8625,3,0.9642
19,5,4,0.9585,4,0.7982,4,0.9567,4,0.8481
20,2,3,0.8604,3,-0.8546,3,0.9168,2,0.6956
21,2,2,0.7408,2,-0.8793,3,0.9402,2,-0.9398
22,3,3,0.6705,3,-0.25,3,0.9231,3,0.1875
23,3,3,0.9349,3,0.872,4,0.9716,3,0.775
24,4,3,0.5994,3,-0.2732,3,0.6808,3,0.6894
25,3,3,-0.1027,2,0.8759,3,0.8637,2,-0.9575
26,2,3,0.9598,2,0.2535,3,0.9564,2,0.8654
27,2,3,-0.7003,2,0.1779,3,0.9231,2,-0.128
28,1,1,-0.8126,1,-0.4867,2,-0.8591,2,-0.7435
29,4,3,0.9136,3,0.5927,4,0.7712,3,0.9678
30,4,3,0.7906,3,-0.7482,3,0.8622,3,0.8667
31,2,2,-0.3634,2,-0.0772,2,0.9725,2,-0.6369
32,1,2,-0.9042,2,-0.8722,2,0.128,2,-0.9294
33,3,2,0.8225,2,-0.8649,3,0.9256,2,-0.4605
34,4,3,0.3612,2,-0.5574,3,0.9476,2,-0.1531
35,3,2,-0.8201,2,-0.9126,3,0.9158,2,-0.7894
36,4,3,-0.3832,2,0.6956,3,0.9089,2,0.7964
37,4,4,0.6597,4,0.8047,4,0.8979,3,0.0772
38,1,2,-0.6046,2,0.1764,2,0.9142,2,0.1027
39,4,3,0.1875,3,0.0516,3,0.9627,3,0.8201
40,2,3,0.4767,2,-0.8746,3,0.8442,3,0.6124
41,4,3,0.8422,2,0.664,3,0.8641,3,-0.1901
42,1,2,-0.7009,2,-0.7163,2,0.9334,2,-0.8871
43,3,3,0.7087,3,0.5445,3,0.9392,3,0.5998
44,2,2,0.2878,2,-0.5493,3,0.7906,2,-0.25
45,2,2,-0.3444,2,-0.6249,3,0.6597,2,0.5423
46,3,3,-0.7037,3,-0.34,3,0.9568,3,0.8885
47,4,4,0.8689,5,0.9468,5,0.8176,4,0.8705
48,3,3,0.4767,3,0.8074,3,0.9755,3,0.9489
49,4,3,0.34,2,-0.9464,4,0.9743,2,0.3691
50,3,3,0.9118,2,-0.6749,3,0.9758,2,0.9838
51,4,3,0.7351,3,-0.8655,3,0.7871,3,0.9823
52,5,4,0.9231,4,0.7715,4,0.8999,4,0.9335
53,1,3,0.3612,2,-0.872,3,0.8074,3,0.6821
54,3,4,0.2023,3,0.6187,4,0.8014,3,0.81
55,3,2,0.6409,3,0.4767,3,0.7126,3,0.8357
56,5,4,0.802,4,0.9014,4,0.9153,4,0.8496
57,3,4,0.8271,3,0.7175,4,0.9934,3,0.5569
58,2,3,0.8422,2,-0.9246,3,0.7783,2,0.1771
59,3,3,0.6901,3,0.689,3,0.5093,2,-0.7196
60,3,3,0.9052,3,0.8674,3,0.9791,3,0.0364
